,mileage,engine,power,PCA1,PCA2,clusters
0,26.6,998.0,58.16,-2.2424697900738595,0.8617997292126275,1
1,19.67,1582.0,126.2,-0.05782454640565064,0.3729590136559633,6
2,18.2,1199.0,88.7,-0.693573270468502,-0.4073178359675885,3
3,20.77,1248.0,88.76,-0.9490853134354971,0.11130855135575829,6
4,15.2,1968.0,140.8,1.03658619614677,-0.20050643763612253,5
5,21.1,814.0,55.2,-1.8088241567737666,-0.30652267011706125,3
6,23.08,1461.0,63.1,-1.2888614838883519,0.4180347057980398,1
7,11.36,2755.0,171.5,2.648637933911258,-0.3402836768776956,2
8,20.54,1598.0,103.6,-0.3954466827610157,0.34588729233851284,6
9,22.3,1248.0,74.0,-1.2952180337588874,0.2754837979063822,6
10,21.56,1462.0,103.25,-0.661696315519152,0.48338737148960725,6
11,16.8,1497.0,116.3,0.08731067048065644,-0.3068467410972389,0
12,25.2,1248.0,74.0,-1.6414490424563823,0.8369813578190333,1
13,12.7,2179.0,187.7,2.0726055190846457,-0.1767070658112583,5
14,0.0,2179.0,115.0,2.7837109051470112,-3.2861526423256593,2
15,13.5,2477.0,175.56,2.150713603483303,-0.005840627231540421,2
16,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
17,28.4,1248.0,74.0,-2.023497052053618,1.4565648722054072,1
18,20.45,1461.0,83.8,-0.7456146563726743,0.0940249798570625,6
19,14.84,2143.0,167.62,1.5575097685367805,0.04292496925916787,5
20,22.69,1995.0,190.0,0.7151541551669114,1.7012051290267738,5
21,23.65,1248.0,88.5,-1.2958080047350027,0.6666073991592538,1
22,13.53,1984.0,177.01,1.6535314956855252,-0.19317798260237107,5
23,18.5,1197.0,80.0,-0.8278097736095011,-0.42791015028390245,3
24,14.4,1598.0,103.6,0.3376079356536804,-0.842938575890342,0
25,16.8,1497.0,116.3,0.08731067048065644,-0.3068467410972389,0
26,23.08,1461.0,63.1,-1.2888614838883519,0.4180347057980398,1
27,20.92,998.0,67.1,-1.4653246691994481,-0.15797155732506102,3
28,17.5,1199.0,88.7,-0.6100002683691068,-0.5428517297396077,3
